"año";"sector";"actividad";"subactividad";"categoria";"id_ipcc";"tipo_de_gas";"valor_en_toneladas_de_co2e"
"1990";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"15.33"
"1991";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"18.78"
"1992";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"17.54"
"1993";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"17.11"
"1994";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"16.03"
"1995";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"17.51"
"1996";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"20.38"
"1997";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"19.03"
"1998";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"20.63"
"1999";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"25.02"
"2000";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"24.42"
"2001";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"18.62"
"2002";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"15.68"
"2003";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"18.16"
"2004";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"24.37"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CO2";"25.85"
